,name,id,type,lat,lon,nodes,geometry,area,source
20,,910765102,way,34.1713422,36.409153,"[8456935481, 8456935482, 8456935483, 9665352757, 9665352758, 9665352759, 8456935484, 8456935485, 8456935481]","POLYGON ((36.4090766 34.1716665, 36.409533 34.1712952, 36.4092044 34.1710179, 36.4091159 34.1711053, 36.4091729 34.1711613, 36.408965 34.1713311, 36.4087729 34.1713927, 36.4088137 34.171599, 36.4090766 34.1716665))",0.0035353359590265974,OSM
21,,910765105,way,34.1732731,36.4146341,"[8456935497, 8456935498, 8456935499, 9585833064, 9585833065, 8456935500, 8456935501, 9682308756, 8456935497]","POLYGON ((36.4139474 34.1737698, 36.4138023 34.1731312, 36.4144479 34.1727765, 36.4147693 34.1728812, 36.4150429 34.1730543, 36.4154659 34.1733124, 36.4145103 34.1737025, 36.4142404 34.1737501, 36.4139474 34.1737698))",0.014754176832303158,OSM
22,,910765106,way,34.1902107,36.4217767,"[8456935506, 9585934463, 9585934461, 6645893401, 8456935507, 9585934454, 9585934455, 9585934453, 9585934452, 8456935508, 9585934457, 9585934456, 9585934458, 8456935510, 8456935511, 8456935512, 8456935506]","POLYGON ((36.4204837 34.1914372, 36.4212924 34.1916639, 36.4218289 34.1916861, 36.4222098 34.191558, 36.4232709 34.1904497, 36.4228105 34.1900487, 36.4232504 34.1890459, 36.4224833 34.1887353, 36.4220756 34.189534, 36.4223555 34.1897511, 36.4221686 34.1898504, 36.4218315 34.1903793, 36.4212656 34.1895295, 36.4207349 34.1891165, 36.4202825 34.1898319, 36.4212344 34.1910327, 36.4204837 34.1914372))",0.07088185836390655,OSM
23,,910765107,way,34.1900086,36.4251867,"[8456935513, 8456935514, 9585934451, 8456935515, 8456935516, 9585934450, 8456935517, 9643369946, 8456935513]","POLYGON ((36.42505 34.1907405, 36.4258257 34.1906868, 36.4259434 34.1900399, 36.4257245 34.1895886, 36.4257054 34.1894748, 36.4249563 34.1892766, 36.4244299 34.1894416, 36.42479 34.1900044, 36.42505 34.1907405))",0.021693681953850415,OSM
24,,910765111,way,34.1895992,36.4384776,"[8456935538, 8456935539, 9585923086, 9585923085, 9695759017, 9585923084, 9585923083, 9585923082, 9585923081, 9693125539, 9587522051, 9585923080, 9692988623, 8456935541, 8456935542, 9585923079, 8456935543, 9695747116, 8456935544, 8456935545, 8456935546, 8456935547, 9644226878, 8456935548, 9587522053, 9692947209, 9695759020, 8456935549, 8456935550, 8456935551, 9695759018, 9695759019, 9587522055, 9587522057, 9587522056, 8456935538]","POLYGON ((36.4369516 34.1902875, 36.4372426 34.189482, 36.4375157 34.1895495, 36.4375842 34.1892145, 36.437564 34.1891457, 36.4372945 34.1889883, 36.437332 34.1886077, 36.4382158 34.1886343, 36.4381675 34.1891002, 36.4381035 34.1891708, 36.4376834 34.1893621, 36.4384117 34.1895562, 36.4388707 34.1896635, 36.4391883 34.1897631, 36.4394627 34.1892816, 36.4400035 34.1894941, 36.439806 34.1896982, 36.439864 34.1898069, 36.4398616 34.1898957, 36.4397063 34.1900329, 36.4393068 34.1902375, 36.4387112 34.1905177, 36.438595 34.1905815, 36.4384041 34.1905907, 36.4382789 34.1905901, 36.4382908 34.190567, 36.4383151 34.1904481, 36.4383173 34.1903028, 36.4381225 34.1900413, 36.4380046 34.1904993, 36.4379248 34.1904825, 36.437725 34.1904126, 36.4376794 34.1904537, 36.4372288 34.1903571, 36.4371496 34.1904626, 36.4369516 34.1902875))",0.04272961400265725,OSM
25,,910765113,way,34.1898446,36.4410335,"[8456935557, 8456935558, 8456935559, 9587549843, 8456935560, 8456935557]","POLYGON ((36.4412061 34.1901585, 36.440564 34.189677, 36.4410068 34.1895307, 36.4415029 34.1897137, 36.4413028 34.1900773, 36.4412061 34.1901585))",0.004502098805058154,OSM
26,,910765114,way,34.1905526,36.4420178,"[8456935561, 8456935562, 8456935563, 8456935564, 8456935565, 8456935566, 8456935561]","POLYGON ((36.4418969 34.19114, 36.441563 34.1906288, 36.44192 34.1899462, 36.4424727 34.1901336, 36.4420582 34.1910067, 36.4419929 34.1911591, 36.4418969 34.19114))",0.008809053902336297,OSM
27,,936672996,way,33.7922034,35.9152374,"[8679217383, 2076273687, 8658426463, 8679217380, 8679217379, 8679217378, 8679217377, 8679217383]","POLYGON ((35.9154895 33.7906793, 35.9169245 33.7918139, 35.9147867 33.7937276, 35.9142356 33.793177, 35.9139848 33.7929151, 35.9137675 33.7926788, 35.9135503 33.7923155, 35.9154895 33.7906793))",0.07526157584123463,OSM
28,,936674008,way,33.7937466,35.9213303,"[8679229553, 2076273774, 2076273824, 8679229554, 8679229553]","POLYGON ((35.9202558 33.7943194, 35.9211302 33.794975, 35.9224049 33.7939095, 35.9217095 33.7925183, 35.9202558 33.7943194))",0.03759335819016662,OSM
29,,937293087,way,33.7903539,35.9331264,"[8684564370, 8684564369, 8684564368, 8684564367, 8684564366, 8684564365, 8684564364, 8684564363, 8684564362, 8684564361, 8684564360, 8684564373, 8684564359, 8684564370]","POLYGON ((35.9323311 33.7920458, 35.9335086 33.7909959, 35.9337875 33.7911653, 35.9350455 33.7902669, 35.9340584 33.7892571, 35.9334254 33.788662, 35.9322292 33.7894979, 35.9328595 33.7900842, 35.9320018 33.7906525, 35.9316646 33.790345, 35.9312072 33.7906548, 35.9313011 33.7909803, 35.9316605 33.7914194, 35.9323311 33.7920458))",0.08666957450966964,OSM
